date,temp
2023/6/18,22.9
2023/6/19,21.4
2023/6/20,22.7
2023/6/21,23.3
2023/6/22,19.6
2023/6/23,21.3
2023/6/24,22
2023/6/25,22.4
2023/6/26,23.6
2023/6/27,26.2
2023/6/28,25.1
2023/6/29,23.6
2023/6/30,23.3
2023/7/1,22.6
2023/7/2,24.3
2023/7/3,24.7
2023/7/4,24.2
2023/7/5,24.8
2023/7/6,24.6
2023/7/7,25.8
2023/7/8,23.9
2023/7/9,24.5
2023/7/10,26.3
2023/7/11,26.2
2023/7/12,24.1
2023/7/13,22.9
2023/7/14,24.5
2023/7/15,28.3
2023/7/16,28.6
2023/7/17,27.6
2023/7/18,26.9
2023/7/19,24.6
2023/7/20,24.3
2023/7/21,24.9
2023/7/22,27.1
2023/7/23,28
2023/7/24,28.2
2023/7/25,28.1
2023/7/26,28.3
2023/7/27,28.2
2023/7/28,28.4
2023/7/29,28.8
2023/7/30,28.5
2023/7/31,28
2023/8/1,28.8
2023/8/2,29.1
2023/8/3,30.3
2023/8/4,29.1
2023/8/5,30.6
2023/8/6,30.9
2023/8/7,29.7
2023/8/8,30.8
2023/8/9,30.7
2023/8/10,31
2023/8/11,30.5
2023/8/12,28.1
2023/8/13,27.9
2023/8/14,27
2023/8/15,26.5
2023/8/16,25.6
2023/8/17,25.4
2023/8/18,27.8
2023/8/19,27.9
2023/8/20,28
2023/8/21,27.8
2023/8/22,29.1
2023/8/23,29.1
2023/8/24,28.2
2023/8/25,28.6
2023/8/26,26.9
2023/8/27,24.7
2023/8/28,25.9
2023/8/29,28.2
2023/8/30,28.2
2023/8/31,29.1
2023/9/1,28.1
2023/9/2,26.6
2023/9/3,26.6
2023/9/4,26.5
2023/9/5,27.4
2023/9/6,23.6
2023/9/7,24.6
2023/9/8,23.9
2023/9/9,24.5
2023/9/10,25.9
2023/9/11,26
2023/9/12,25.1
2023/9/13,26.3
2023/9/14,26.7
2023/9/15,25.6
2023/9/16,27
2023/9/17,28.3
2023/9/18,25.8
2023/9/19,25.5
2023/9/20,24.8
2023/9/21,26
2023/9/22,22.6
2023/9/23,21.4
2023/9/24,20.4
2023/9/25,22.3
2023/9/26,22.5
2023/9/27,21.5
2023/9/28,22.1
2023/9/29,22.4
2023/9/30,22.1
2023/10/1,19.5
2023/10/2,17.6
2023/10/3,17
2023/10/4,20.1
2023/10/5,16.1
2023/10/6,13.6
2023/10/7,14.8
2023/10/8,14.8
2023/10/9,16.4
2023/10/10,16.8
2023/10/11,15.1
2023/10/12,14.6
2023/10/13,13.9
2023/10/14,15.5
2023/10/15,15.2
2023/10/16,15.9
2023/10/17,14.2
2023/10/18,14.3
2023/10/19,16.6
2023/10/20,15.8
2023/10/21,10.2
2023/10/22,10.6
2023/10/23,13.1
2023/10/24,14
2023/10/25,13.5
2023/10/26,13.4
2023/10/27,13.2
2023/10/28,11.7
2023/10/29,11.4
2023/10/30,11.6
2023/10/31,12.8
2023/11/1,13.2
2023/11/2,14.5
2023/11/3,16.8
2023/11/4,16.4
2023/11/5,19.5
2023/11/6,22.4
2023/11/7,15.2
2023/11/8,13
2023/11/9,16.1
2023/11/10,16.5
2023/11/11,9.8
2023/11/12,7.7
2023/11/13,6.1
2023/11/14,7.5
2023/11/15,8.7
2023/11/16,11.9
2023/11/17,10.4
2023/11/18,3.7
2023/11/19,7.2
2023/11/20,7.6
2023/11/21,8.4
2023/11/22,10.9
2023/11/23,13.1
2023/11/24,9.8
2023/11/25,5.1
2023/11/26,5.5
2023/11/27,10.6
2023/11/28,8.3
2023/11/29,5.2
2023/11/30,4.1
2023/12/1,1.5
2023/12/2,0.9
2023/12/3,2.5
2023/12/4,4.1
2023/12/5,4.3
2023/12/6,7.2
2023/12/7,7.1
2023/12/8,6.7
2023/12/9,9.3
2023/12/10,11.2
2023/12/11,9.7
2023/12/12,11.4
2023/12/13,6.2
2023/12/14,6.5
2023/12/15,12.9
2023/12/16,12
2023/12/17,1
2023/12/18,0.5
2023/12/19,2.6
2023/12/20,2.4
2023/12/21,0
2023/12/22,-1.1
2023/12/23,-0.7
2023/12/24,0.7
2023/12/25,0.2
2023/12/26,1.3
2023/12/27,2.1
2023/12/28,2.2
2023/12/29,2.3
2023/12/30,2.8
2023/12/31,4.5
2024/1/1,3.4
2024/1/2,2.5
2024/1/3,4.4
2024/1/4,4.7
2024/1/5,4.4
2024/1/6,5.6
2024/1/7,1.5
2024/1/8,-0.1
2024/1/9,0
2024/1/10,1
2024/1/11,0.2
2024/1/12,1.2
2024/1/13,0.1
2024/1/14,-0.6
2024/1/15,1.1
2024/1/16,-1.1
2024/1/17,-0.2
2024/1/18,3.4
2024/1/19,4.9
2024/1/20,3.9
2024/1/21,6.9
2024/1/22,6.2
2024/1/23,0.7
2024/1/24,-2.3
2024/1/25,-1.7
2024/1/26,-0.5
2024/1/27,0.1
2024/1/28,0.6
2024/1/29,1
2024/1/30,1.3
2024/1/31,2.5
2024/2/1,2.5
2024/2/2,0.4
2024/2/3,3
2024/2/4,2
2024/2/5,0.1
2024/2/6,1.2
2024/2/7,2.1
2024/2/8,1.7
2024/2/9,2.2
2024/2/10,0
2024/2/11,1.1
2024/2/12,2.4
2024/2/13,5
2024/2/14,6.6
2024/2/15,10.5
2024/2/16,3.9
2024/2/17,5.5
2024/2/18,12.4
2024/2/19,15.2
2024/2/20,10.1
2024/2/21,6.3
2024/2/22,4.6
2024/2/23,3.3
2024/2/24,2.8
2024/2/25,2.9
2024/2/26,3.3
2024/2/27,2.2
2024/2/28,3.7
2024/2/29,3.3
2024/3/1,4.3
2024/3/2,-1
2024/3/3,0.5
2024/3/4,1.6
2024/3/5,2.6
2024/3/6,4.4
2024/3/7,3.1
2024/3/8,1.8
2024/3/9,0
2024/3/10,0.6
2024/3/11,2.7
2024/3/12,4.2
2024/3/13,3.2
2024/3/14,4.6
2024/3/15,7.4
2024/3/16,9.2
2024/3/17,7.8
2024/3/18,3.6
2024/3/19,3.6
2024/3/20,1.6
2024/3/21,0.1
2024/3/22,2
2024/3/23,4.3
2024/3/24,7.3
2024/3/25,9
2024/3/26,7
2024/3/27,7
2024/3/28,10.2
2024/3/29,14.1
2024/3/30,13.5
2024/3/31,14.2
2024/4/1,9.5
2024/4/2,11.3
2024/4/3,12.7
2024/4/4,12.1
2024/4/5,10.2
2024/4/6,13
2024/4/7,15.3
2024/4/8,15.8
2024/4/9,10.4
2024/4/10,7.9
2024/4/11,15
2024/4/12,14.9
2024/4/13,14.1
2024/4/14,17.5
2024/4/15,19.5
2024/4/16,17.5
2024/4/17,16.3
2024/4/18,13.7
2024/4/19,13.6
2024/4/20,15
2024/4/21,16
2024/4/22,16.1
2024/4/23,16.9
2024/4/24,17.1
2024/4/25,15.1
2024/4/26,18.3
2024/4/27,19.2
2024/4/28,18.3
2024/4/29,19.8
2024/4/30,17.4
2024/5/1,13.3
2024/5/2,13
2024/5/3,16.2
2024/5/4,18.9
2024/5/5,21.5
2024/5/6,20
2024/5/7,16.4
2024/5/8,12.6
2024/5/9,10.6
2024/5/10,15.8
2024/5/11,19.9
2024/5/12,18.5
2024/5/13,13.2
2024/5/14,15.3
2024/5/15,19.2
2024/5/16,15.6
2024/5/17,16
2024/5/18,18.8
2024/5/19,18.5
2024/5/20,17
2024/5/21,15.8
2024/5/22,19.6
2024/5/23,21.9
2024/5/24,19
2024/5/25,16.7
2024/5/26,20.2
2024/5/27,22.2
2024/5/28,15.3
2024/5/29,15.3
2024/5/30,19.9
2024/5/31,17.1
2024/6/1,17.6
2024/6/2,17.2
2024/6/3,16.9
2024/6/4,16.5
2024/6/5,18.4
2024/6/6,19.9
2024/6/7,22.3
2024/6/8,23.4
2024/6/9,21.8
2024/6/10,22.4
2024/6/11,23.9
2024/6/12,25.4
2024/6/13,24.1
2024/6/14,24.5
2024/6/15,26.1
2024/6/16,22.8
2024/6/17,22.3
2024/6/18,19.8
